"filename", "language", "Go", "HTML", "XML", "JavaScript", "CSS", "SCSS", "comment", "blank", "total"
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/1-frameworks/bootstrap/source/mixins/_navbar-align.scss", "SCSS", 0, 0, 0, 0, 0, 0, 9, 2, 11
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/1-frameworks/bootstrap/source/mixins/_pagination.scss", "SCSS", 0, 0, 0, 0, 0, 19, 1, 3, 23
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/1-frameworks/bootstrap/source/mixins/_reset-text.scss", "SCSS", 0, 0, 0, 0, 0, 16, 1, 1, 18
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/1-frameworks/bootstrap/source/mixins/_resize.scss", "SCSS", 0, 0, 0, 0, 0, 4, 1, 2, 7
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/1-frameworks/bootstrap/source/mixins/_screen-reader.scss", "SCSS", 0, 0, 0, 0, 0, 21, 9, 4, 34
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/1-frameworks/bootstrap/source/mixins/_size.scss", "SCSS", 0, 0, 0, 0, 0, 4, 1, 2, 7
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/1-frameworks/bootstrap/source/mixins/_table-row.scss", "SCSS", 0, 0, 0, 0, 0, 21, 5, 5, 31
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/1-frameworks/bootstrap/source/mixins/_text-emphasis.scss", "SCSS", 0, 0, 0, 0, 0, 10, 2, 3, 15
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/1-frameworks/bootstrap/source/mixins/_text-hide.scss", "SCSS", 0, 0, 0, 0, 0, 10, 2, 2, 14
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/1-frameworks/bootstrap/source/mixins/_text-truncate.scss", "SCSS", 0, 0, 0, 0, 0, 5, 2, 2, 9
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/1-frameworks/bootstrap/source/mixins/_transition.scss", "SCSS", 0, 0, 0, 0, 0, 12, 0, 2, 14
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/1-frameworks/bootstrap/source/mixins/_visibility.scss", "SCSS", 0, 0, 0, 0, 0, 3, 2, 3, 8
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/1-frameworks/bootstrap/source/utilities/_align.scss", "SCSS", 0, 0, 0, 0, 0, 6, 1, 2, 9
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/1-frameworks/bootstrap/source/utilities/_background.scss", "SCSS", 0, 0, 0, 0, 0, 14, 1, 5, 20
